Date,Open,High,Low,Close,Adj Close,Volume
6/5/2002,113.849998,113.959999,113.449997,113.660004,113.660004,0
7/5/2002,113.440002,114.309998,113.389999,113.919998,113.919998,0
8/5/2002,114.209999,115.089996,113.949997,114.910004,114.910004,0
9/5/2002,114.82,115.059998,114.269997,114.519997,114.519997,0
10/5/2002,113.959999,114.550003,113.919998,113.949997,113.949997,0
12/5/2002,null,null,null,null,null,null
13/5/2002,113.769997,114.370003,113.629997,114.150002,114.150002,0
14/5/2002,114.709999,115.239998,114.139999,115.089996,115.089996,0
15/5/2002,115.129997,115.32,114.080002,114.120003,114.120003,0
16/5/2002,114.190002,114.470001,113.839996,114.129997,114.129997,0
17/5/2002,113.769997,114.199997,112.910004,113,113,0
19/5/2002,null,null,null,null,null,null
20/5/2002,113.059998,113.25,112.739998,112.82,112.82,0
21/5/2002,113.290001,113.379997,112.660004,112.800003,112.800003,0
22/5/2002,112.790001,113.019997,112.160004,112.330002,112.330002,0
23/5/2002,112.550003,113.169998,112.18,112.790001,112.790001,0
24/5/2002,113.010002,113.349998,112.629997,112.800003,112.800003,0
26/5/2002,null,null,null,null,null,null
27/5/2002,112.870003,113.110001,112.720001,113,113,0
28/5/2002,112.790001,112.919998,111.93,112.099998,112.099998,0
29/5/2002,112.139999,112.290001,111.470001,111.489998,111.489998,0
30/5/2002,111.379997,111.699997,110.879997,111.169998,111.169998,0
31/5/2002,111.349998,112.169998,110.989998,111.809998,111.809998,0
2/6/2002,null,null,null,null,null,null
3/6/2002,111.93,112.040001,111.120003,111.300003,111.300003,0
4/6/2002,110.809998,111.18,110.620003,111.089996,111.089996,0
5/6/2002,111.260002,111.769997,111.07,111.339996,111.339996,0
6/6/2002,111.75,111.900002,110.699997,110.830002,110.830002,0
7/6/2002,110.690002,111.120003,110.559998,110.989998,110.989998,0
9/6/2002,null,null,null,null,null,null
10/6/2002,111.389999,111.470001,110.660004,111.099998,111.099998,0
11/6/2002,111.059998,111.459999,110.720001,110.779999,110.779999,0
12/6/2002,110.769997,111.129997,110.5,111,111,0
13/6/2002,111.169998,111.459999,110.669998,111.150002,111.150002,0
14/6/2002,110.980003,111.18,110.260002,110.760002,110.760002,0
16/6/2002,null,null,null,null,null,null
17/6/2002,110.830002,111.129997,110.660004,110.849998,110.849998,0
18/6/2002,110.739998,110.870003,110.099998,110.199997,110.199997,0
19/6/2002,109.970001,110.160004,109.540001,109.669998,109.669998,0
20/6/2002,109.529999,109.800003,108.860001,108.940002,108.940002,0
21/6/2002,108.730003,109.010002,107.959999,108.190002,108.190002,0
23/6/2002,null,null,null,null,null,null
24/6/2002,108.07,108.470001,107.25,108.209999,108.209999,0
25/6/2002,108.129997,108.529999,107.540001,107.57,107.57,0
26/6/2002,106.220001,107.419998,105.889999,106.559998,106.559998,0
27/6/2002,106.739998,107.029999,106.220001,106.370003,106.370003,0
28/6/2002,106.279999,106.839996,105.370003,106.110001,106.110001,0
30/6/2002,null,null,null,null,null,null
1/7/2002,105.760002,106.650002,105.669998,106.510002,106.510002,0
2/7/2002,106.809998,107.220001,106.120003,106.800003,106.800003,0
3/7/2002,106.989998,107.440002,106.540001,107.050003,107.050003,0
