Date,Price,Open,High,Low,Vol.,Change %
"May 05, 2022",1883.00,1891.30,1917.60,1879.60,28.69K,0.36%
"May 04, 2022",1876.20,1876.10,1898.80,1868.80,29.35K,-0.09%
"May 03, 2022",1877.80,1870.40,1885.00,1856.70,24.90K,0.38%
"May 02, 2022",1870.60,1903.10,1907.40,1860.80,9.78K,-2.50%
"Apr 29, 2022",1918.60,1902.50,1928.20,1900.60,7.74K,1.07%
"Apr 28, 2022",1898.30,1893.00,1904.30,1877.80,6.72K,0.14%
"Apr 27, 2022",1895.60,1914.00,1914.80,1888.80,5.84K,-0.81%
"Apr 26, 2022",1911.10,1907.30,1918.70,1904.20,8.90K,0.43%
"Apr 25, 2022",1903.00,1937.40,1942.60,1898.80,17.15K,-1.98%
"Apr 22, 2022",1941.40,1960.00,1964.50,1935.00,12.26K,-0.70%
"Apr 21, 2022",1955.00,1964.20,1966.20,1944.80,11.80K,-0.37%
"Apr 20, 2022",1962.30,1959.00,1967.30,1947.80,5.75K,-0.18%
"Apr 19, 2022",1965.80,1987.80,1991.60,1952.80,5.38K,-1.38%
"Apr 18, 2022",1993.30,1983.10,2009.50,1981.80,1.60K,0.59%
"Apr 14, 2022",1981.60,1988.70,1990.60,1969.60,3.13K,-0.50%
"Apr 13, 2022",1991.50,1976.60,1992.20,1974.00,9.41K,0.43%
"Apr 12, 2022",1983.00,1965.00,1989.10,1960.40,9.08K,1.43%
"Apr 11, 2022",1955.00,1957.10,1981.20,1949.90,5.74K,0.14%
"Apr 08, 2022",1952.20,1941.40,1958.30,1937.70,6.83K,0.41%
"Apr 07, 2022",1944.20,1932.90,1948.00,1930.00,6.75K,0.77%
"Apr 06, 2022",1929.30,1933.40,1942.20,1922.30,3.99K,-0.22%
"Apr 05, 2022",1933.50,1941.50,1954.40,1927.20,4.70K,-0.32%
"Apr 04, 2022",1939.70,1933.50,1946.10,1924.00,2.95K,0.54%
"Apr 01, 2022",1929.20,1947.90,1949.50,1927.10,2.17K,-1.55%
"Mar 31, 2022",1959.50,1942.50,1960.40,1928.60,7.31K,0.79%
"Mar 30, 2022",1944.10,1930.00,1948.30,1925.40,3.76K,1.10%
"Mar 29, 2022",1923.00,1932.00,1937.50,1899.00,5.62K,-1.38%
"Mar 28, 2022",1949.90,1967.80,1968.30,1926.00,2.93K,-0.76%
"Mar 25, 2022",1964.90,1972.30,1974.00,1953.50,4.32K,-0.39%
"Mar 24, 2022",1972.60,1953.20,1977.20,1948.40,2.98K,1.31%
"Mar 23, 2022",1947.10,1930.30,1958.00,1925.90,3.80K,0.82%
"Mar 22, 2022",1931.20,1945.20,1948.50,1920.00,3.87K,-0.40%
"Mar 21, 2022",1939.00,1931.00,1951.20,1926.40,3.10K,0.06%
"Mar 18, 2022",1937.90,1950.70,1950.80,1926.80,3.62K,-0.73%
"Mar 17, 2022",1952.10,1934.50,1959.20,1933.90,2.27K,1.76%
"Mar 16, 2022",1918.30,1928.80,1938.30,1905.00,3.84K,-1.04%
"Mar 15, 2022",1938.50,1964.60,1964.60,1918.00,2.98K,-1.56%
"Mar 14, 2022",1969.30,1992.00,1995.00,1960.80,0.92K,-1.19%
"Mar 11, 2022",1993.10,2010.40,2010.40,1968.80,5.68K,-0.75%
"Mar 10, 2022",2008.20,2002.50,2021.00,1982.30,2.66K,0.67%
"Mar 09, 2022",1994.90,2057.80,2072.10,1988.00,3.11K,-2.68%
"Mar 08, 2022",2049.90,2008.30,2085.20,1998.60,3.54K,2.36%
"Mar 07, 2022",2002.60,1985.00,2013.40,1973.60,7.71K,1.47%
"Mar 04, 2022",1973.60,1944.90,1981.10,1938.60,1.63K,1.58%
"Mar 03, 2022",1942.90,1938.00,1951.20,1930.20,2.19K,0.72%
"Mar 02, 2022",1929.00,1944.60,1957.80,1923.90,3.25K,-1.10%
"Mar 01, 2022",1950.40,1915.50,1955.60,1910.20,1.46K,2.25%
"Feb 28, 2022",1907.40,1910.10,1941.60,1899.20,1.36K,0.70%
"Feb 25, 2022",1894.20,1913.80,1931.40,1891.50,2.41K,-2.01%
"Feb 24, 2022",1933.00,1921.20,1981.00,1885.60,3.91K,0.80%
"Feb 23, 2022",1917.70,1908.80,1920.00,1898.90,2.20K,0.16%
"Feb 22, 2022",1914.70,1911.20,1923.90,1899.00,2.34K,0.14%
"Feb 21, 2022",1912.05,1907.80,1918.30,1889.70,-,0.21%
"Feb 20, 2022",1908.00,1900.80,1909.35,1900.80,-,0.05%
"Feb 18, 2022",1907.10,1909.00,1912.00,1895.40,1.01K,-0.12%
"Feb 17, 2022",1909.30,1878.50,1909.90,1878.50,1.41K,1.62%
"Feb 16, 2022",1878.90,1863.00,1880.90,1860.00,1.82K,0.82%
"Feb 15, 2022",1863.70,1880.60,1888.80,1853.70,2.06K,-0.71%
"Feb 14, 2022",1877.10,1869.20,1884.00,1861.20,3.08K,1.47%
"Feb 11, 2022",1849.90,1834.50,1873.20,1830.00,3.28K,0.28%
"Feb 10, 2022",1844.80,1840.20,1849.70,1829.60,3.72K,0.08%
"Feb 09, 2022",1843.30,1832.90,1843.40,1832.60,1.89K,0.48%
"Feb 08, 2022",1834.50,1828.60,1836.40,1824.50,4.51K,0.36%
"Feb 07, 2022",1827.90,1816.00,1830.30,1815.20,2.48K,0.77%
"Feb 04, 2022",1814.00,1813.70,1821.50,1798.30,3.72K,0.22%
"Feb 03, 2022",1810.10,1809.80,1814.00,1794.90,0.91K,-0.33%
"Feb 02, 2022",1816.10,1807.40,1817.20,1801.80,0.64K,0.49%
"Feb 01, 2022",1807.20,1803.50,1814.30,1802.10,2.35K,0.28%
"Jan 31, 2022",1802.20,1794.50,1806.00,1792.40,1.68K,0.56%
"Jan 28, 2022",1792.20,1804.00,1804.90,1787.80,3.27K,-0.46%
"Jan 27, 2022",1800.40,1826.50,1826.50,1798.20,4.61K,-1.99%
"Jan 26, 2022",1836.90,1855.20,1855.60,1822.20,3.43K,-1.23%
"Jan 25, 2022",1859.80,1851.00,1859.90,1844.00,0.82K,0.58%
"Jan 24, 2022",1849.00,1846.00,1851.60,1837.60,0.60K,0.55%
"Jan 21, 2022",1838.80,1848.10,1849.50,1838.30,0.68K,-0.58%
"Jan 20, 2022",1849.50,1846.60,1855.10,1844.20,1.48K,-0.03%
"Jan 19, 2022",1850.10,1821.50,1850.40,1819.70,0.86K,1.68%
"Jan 18, 2022",1819.50,1825.00,1828.00,1812.30,4.88K,0.02%
"Jan 17, 2022",1819.05,1815.85,1822.90,1812.25,-,0.18%
"Jan 16, 2022",1815.75,1816.40,1818.10,1815.15,-,-0.39%
"Jan 14, 2022",1822.90,1826.00,1834.80,1821.80,1.22K,-0.26%
"Jan 13, 2022",1827.70,1831.60,1834.50,1819.10,3.20K,-0.33%
"Jan 12, 2022",1833.70,1827.10,1834.00,1820.80,3.28K,0.50%
"Jan 11, 2022",1824.60,1811.00,1829.00,1809.10,4.84K,1.08%
"Jan 10, 2022",1805.10,1798.80,1806.90,1795.80,2.73K,0.08%
"Jan 07, 2022",1803.70,1796.90,1804.10,1789.20,4.05K,0.46%
"Jan 06, 2022",1795.40,1815.00,1815.00,1792.00,2.99K,-1.97%
"Jan 05, 2022",1831.50,1822.20,1835.00,1816.70,6.83K,0.55%
"Jan 04, 2022",1821.40,1813.40,1822.50,1807.50,1.82K,0.80%
"Jan 03, 2022",1807.00,1834.90,1834.90,1806.00,0.66K,-1.57%
"Dec 31, 2021",1835.90,1825.00,1837.90,1822.90,1.12K,0.80%
"Dec 30, 2021",1821.40,1812.60,1822.30,1804.50,0.56K,0.46%
"Dec 29, 2021",1813.00,1814.40,1814.40,1797.50,0.26K,-0.28%
"Dec 28, 2021",1818.00,1819.70,1825.70,1813.80,0.15K,0.12%
"Dec 27, 2021",1815.80,1812.30,1821.50,1812.30,0.14K,0.31%
"Dec 24, 2021",1810.10,1810.10,1810.10,1810.10,-,-0.47%
"Dec 23, 2021",1818.60,1811.60,1818.70,1811.60,0.72K,0.51%
"Dec 22, 2021",1809.30,1794.50,1810.00,1794.50,0.65K,0.75%
"Dec 21, 2021",1795.90,1799.60,1808.40,1792.80,0.46K,-0.32%
"Dec 20, 2021",1801.60,1809.50,1810.00,1796.00,0.25K,-0.57%
"Dec 17, 2021",1811.90,1810.00,1820.60,1810.00,0.33K,0.36%
"Dec 16, 2021",1805.40,1795.00,1806.80,1790.20,0.17K,1.91%
"Dec 15, 2021",1771.50,1775.40,1785.20,1764.10,0.54K,-0.44%
