Date,Open,High,Low,Close,Adj Close,Volume
6/5/2002,5.554,5.563,5.541,5.548,5.548,0
7/5/2002,5.539,5.566,5.532,5.549,5.549,0
8/5/2002,5.587,5.668,5.585,5.664,5.664,0
9/5/2002,5.666,5.693,5.634,5.639,5.639,0
10/5/2002,5.655,5.67,5.604,5.605,5.605,0
12/5/2002,null,null,null,null,null,null
13/5/2002,5.623,5.696,5.614,5.683,5.683,0
14/5/2002,5.698,5.775,5.69,5.754,5.754,0
15/5/2002,5.744,5.775,5.718,5.742,5.742,0
16/5/2002,5.734,5.743,5.681,5.696,5.696,0
17/5/2002,5.714,5.769,5.712,5.742,5.742,0
19/5/2002,null,null,null,null,null,null
20/5/2002,5.726,5.727,5.693,5.694,5.694,0
21/5/2002,5.699,5.722,5.658,5.666,5.666,0
22/5/2002,5.637,5.651,5.619,5.628,5.628,0
23/5/2002,5.648,5.675,5.569,5.668,5.668,0
24/5/2002,5.652,5.683,5.635,5.669,5.669,0
26/5/2002,null,null,null,null,null,null
27/5/2002,null,null,null,null,null,null
28/5/2002,5.692,5.705,5.648,5.669,5.669,0
29/5/2002,5.659,5.679,5.625,5.628,5.628,0
30/5/2002,5.624,5.644,5.6,5.606,5.606,0
31/5/2002,5.602,5.658,5.583,5.612,5.612,0
2/6/2002,null,null,null,null,null,null
3/6/2002,5.637,5.669,5.612,5.623,5.623,0
4/6/2002,5.581,5.626,5.565,5.614,5.614,0
5/6/2002,5.643,5.661,5.618,5.652,5.652,0
6/6/2002,5.664,5.677,5.606,5.624,5.624,0
7/6/2002,5.614,5.669,5.589,5.653,5.653,0
9/6/2002,null,null,null,null,null,null
10/6/2002,5.666,5.668,5.606,5.615,5.615,0
11/6/2002,5.627,5.643,5.555,5.556,5.556,0
12/6/2002,5.564,5.569,5.524,5.531,5.531,0
13/6/2002,5.543,5.544,5.478,5.504,5.504,0
14/6/2002,5.451,5.463,5.391,5.412,5.412,0
16/6/2002,null,null,null,null,null,null
17/6/2002,5.428,5.481,5.423,5.474,5.474,0
18/6/2002,5.427,5.483,5.426,5.466,5.466,0
19/6/2002,5.438,5.446,5.391,5.393,5.393,0
20/6/2002,5.392,5.461,5.384,5.458,5.458,0
21/6/2002,5.449,5.451,5.393,5.396,5.396,0
23/6/2002,null,null,null,null,null,null
24/6/2002,5.375,5.469,5.357,5.462,5.462,0
25/6/2002,5.459,5.505,5.447,5.465,5.465,0
26/6/2002,5.361,5.435,5.32,5.411,5.411,0
27/6/2002,5.446,5.532,5.425,5.513,5.513,0
28/6/2002,5.508,5.543,5.494,5.517,5.517,0
30/6/2002,null,null,null,null,null,null
1/7/2002,5.508,5.558,5.501,5.504,5.504,0
2/7/2002,5.481,5.496,5.444,5.453,5.453,0
3/7/2002,5.454,5.473,5.426,5.444,5.444,0
4/7/2002,null,null,null,null,null,null
5/7/2002,5.482,5.531,5.463,5.53,5.53,0
7/7/2002,null,null,null,null,null,null
8/7/2002,5.497,5.524,5.494,5.495,5.495,0
9/7/2002,5.485,5.514,5.424,5.429,5.429,0
10/7/2002,5.432,5.445,5.348,5.363,5.363,0
11/7/2002,5.347,5.37,5.289,5.352,5.352,0
12/7/2002,5.385,5.392,5.319,5.344,5.344,0
14/7/2002,null,null,null,null,null,null
15/7/2002,5.34,5.377,5.313,5.377,5.377,0
16/7/2002,5.376,5.47,5.374,5.457,5.457,0
17/7/2002,5.473,5.491,5.418,5.423,5.423,0
18/7/2002,5.441,5.46,5.405,5.406,5.406,0
19/7/2002,5.393,5.404,5.346,5.352,5.352,0
21/7/2002,null,null,null,null,null,null
22/7/2002,5.335,5.34,5.275,5.292,5.292,0
23/7/2002,5.321,5.327,5.274,5.281,5.281,0
24/7/2002,5.224,5.308,5.178,5.3,5.3,0
25/7/2002,5.329,5.355,5.28,5.294,5.294,0
26/7/2002,5.293,5.336,5.281,5.305,5.305,0
28/7/2002,null,null,null,null,null,null
29/7/2002,5.346,5.41,5.328,5.403,5.403,0
30/7/2002,5.4,5.422,5.36,5.395,5.395,0
31/7/2002,5.393,5.402,5.289,5.305,5.305,0
1/8/2002,5.311,5.33,5.28,5.294,5.294,0
2/8/2002,5.276,5.288,5.197,5.204,5.204,0
4/8/2002,null,null,null,null,null,null
5/8/2002,5.195,5.212,5.152,5.184,5.184,0
6/8/2002,5.216,5.258,5.202,5.252,5.252,0
7/8/2002,5.241,5.254,5.185,5.209,5.209,0
8/8/2002,5.251,5.256,5.209,5.239,5.239,0
